ENGLISH	QUENYA
Therefore fully keep your keenness of perception, by keeping your mind prepared. Have hope in the grace which will be brought to you at the revelation of Jesus Christ.	Therefore fully keep your keenness of perception, by keeping your mind prepared. Have hope in the grace which will be brought to you at the revelation of Jesus Christ.
Jesus said: “Make the men sit down.” was much grass in the place. Therefore the men sat down, a number around five thousand.	Jesus said: “Make the men sit down.” was much grass in the place. Therefore the men sat down, a number around five thousand.
Therefore the crowd answered him: “We have heard from the Law that the Christ remains forever, and how may you say that is necessary for the Son of Man to be lifted up? Who is this Son of Man?”	Therefore the crowd answered him: “We have heard from the Law that the Christ remains forever, and how may you say that is necessary for the Son of Man to be lifted up? Who is this Son of Man?”
But concerning the times and moments, brothers, you do not have need that anyone writes to you.	But concerning the times and moments, brothers, you do not have need that anyone writes to you.
Having gone into the tomb they saw a young man sit on the right, having a white long-tunic , and they were startled.	Having gone into the tomb they saw a young man sit on the right, having a white long-tunic , and they were startled.
And at every place that does not receive you or hear you, when you go away from there shake off the dust which clings under your feet, as a witness to them.”	And at every place that does not receive you or hear you, when you go away from there shake off the dust which clings under your feet, as a witness to them.”
Widen your heart to us! To no one have we done evil, no one have we marred, by no one have we received profit!	Widen your heart to us! To no one have we done evil, no one have we marred, by no one have we received profit!
He answered and said to them: “What did Moses command you?”	He answered and said to them: “What did Moses command you?”
and also upon my male and female thralls I shall pour of my spirit in those days, and they will speak as prophets.	and also upon my male and female thralls I shall pour of my spirit in those days, and they will speak as prophets.
For who among men knows a man's matters except the man's spirit which is in him? In the same manner nobody has known God's matters except God's spirit.	For who among men knows a man's matters except the man's spirit which is in him? In the same manner nobody has known God's matters except God's spirit.
After the reading out of the Law and of the Prophets, the synagogue chiefs sent to them, saying: “Men, brothers, if you have a word of comfort for the people, tell it!”	After the reading out of the Law and of the Prophets, the synagogue chiefs sent to them, saying: “Men, brothers, if you have a word of comfort for the people, tell it!”
See that nobody pays for evil with evil, but always pursue what is good, one for the other, and for all.	See that nobody pays for evil with evil, but always pursue what is good, one for the other, and for all.
There we found brothers who requested that we would stay with them for seven days, and thus we came into Rome.	There we found brothers who requested that we would stay with them for seven days, and thus we came into Rome.
doing evil to themselves as a payment for unrighteousness. What they count a joy is to dwell in abundance. They are blots and stains, finding abundant joy in their lying teachings while they make themselves festive with you.	doing evil to themselves as a payment for unrighteousness. What they count a joy is to dwell in abundance. They are blots and stains, finding abundant joy in their lying teachings while they make themselves festive with you.
Thus Jesus, six days before the festival, came to Bethany, where was Lazarus whom Jesus had raised from dead.	Thus Jesus, six days before the festival, came to Bethany, where was Lazarus whom Jesus had raised from dead.
But Peter arose and went to the tomb, and bending forward he saw the wrappings alone. Then he went away, in wonder about what had happened.	But Peter arose and went to the tomb, and bending forward he saw the wrappings alone. Then he went away, in wonder about what had happened.
They said: “Believe in the Lord Jesus, and you will be saved, you and your family.”	They said: “Believe in the Lord Jesus, and you will be saved, you and your family.”
And the twelve that he chose were Simon, to whom he gave the after-name Peter,	And the twelve that he chose were Simon, to whom he gave the after-name Peter,
For God did not call us to uncleanness, but in sanctification.	For God did not call us to uncleanness, but in sanctification.
But when I saw that they did not walk straight by the truth of the gospel, I said to Cephas before them all: “If you, though you are a Jew, behaves like a person of the nations and does not like a Jew, how is that you compel people of the nations to follow the Jewish manner?”	But when I saw that they did not walk straight by the truth of the gospel, I said to Cephas before them all: “If you, though you are a Jew, behaves like a person of the nations and does not like a Jew, how is that you compel people of the nations to follow the Jewish manner?”
And the maiden went out and said to her mother: “What am I to ask?” She said: “John the Baptist's head!”	And the maiden went out and said to her mother: “What am I to ask?” She said: “John the Baptist's head!”
three gates to East, three gates to North, three gates to south, and three gates to West.	three gates to East, three gates to North, three gates to south, and three gates to West.
Do you not say that are still four months before the harvest comes? Look! I say to you: Raise your eyes and behold the fields, that they are white for gathering the harvest. Even now	Do you not say that are still four months before the harvest comes? Look! I say to you: Raise your eyes and behold the fields, that they are white for gathering the harvest. Even now
All among them were steadfast in prayer, with some women and Mary mother of Jesus, and with his brothers.	All among them were steadfast in prayer, with some women and Mary mother of Jesus, and with his brothers.
Because of this the crowd, when they heard that he did this sign, also met him.	Because of this the crowd, when they heard that he did this sign, also met him.
And they cried with a mighty voice, saying: “Salvation comes from our God, who is sitting on the throne, and from the Lamb.”	And they cried with a mighty voice, saying: “Salvation comes from our God, who is sitting on the throne, and from the Lamb.”
"For the scripture says: ""Do not stop a bull trampling out grain, from eating"", also: ""He who works is worthy of his reward."""	"For the scripture says: ""Do not stop a bull trampling out grain, from eating"", also: ""He who works is worthy of his reward."""
"then he says: ""Behold, I have come to do your will."" He takes away the first to establish the second."	"then he says: ""Behold, I have come to do your will."" He takes away the first to establish the second."
But Pilate asked them, saying: “Do you wish that I free to you the king of the Jews?”	But Pilate asked them, saying: “Do you wish that I free to you the king of the Jews?”
Therefore Simon Peter gave a hint to that one and said to him: “Tell who is that he is talking about!”	Therefore Simon Peter gave a hint to that one and said to him: “Tell who is that he is talking about!”
Thus he also went away and preached to the spirits in custody,	Thus he also went away and preached to the spirits in custody,
And he said to those that stood by him: 'Take the mina from him and give it to who has the ten minas!'	And he said to those that stood by him: 'Take the mina from him and give it to who has the ten minas!'
And saying this he showed them his hands and his feet.	And saying this he showed them his hands and his feet.
Give to all your debts to them: tax to the one that asks for tax, payment to the one that asks for payment, respect to the one that asks for respect, glory to the one that asks for glory.	Give to all your debts to them: tax to the one that asks for tax, payment to the one that asks for payment, respect to the one that asks for respect, glory to the one that asks for glory.
But he said: “I say to you, Peter: A cock will not sound today before you have said thrice that you do not know me.”	But he said: “I say to you, Peter: A cock will not sound today before you have said thrice that you do not know me.”
Now if concerning the Christ is made known that he has been raised from dead, how is that are some among you that say that there is no resurrection from dead?	Now if concerning the Christ is made known that he has been raised from dead, how is that are some among you that say that there is no resurrection from dead?
for she said to herself: “If only I touch his cloak I shall be saved!”	for she said to herself: “If only I touch his cloak I shall be saved!”
and when they saw him, they fell down before him, but some among them were not firm in the faith.	and when they saw him, they fell down before him, but some among them were not firm in the faith.
If anybody sees his brother do a sin that does not lead to death, he shall make request, and God will give him life – if he is not among the people whose sin leads to death. is a sin that leads to death; I do not say that one is to make request concerning that.	If anybody sees his brother do a sin that does not lead to death, he shall make request, and God will give him life – if he is not among the people whose sin leads to death. is a sin that leads to death; I do not say that one is to make request concerning that.
For formerly you were darkness, but now you are light, in the Lord. Walk as children of light,	For formerly you were darkness, but now you are light, in the Lord. Walk as children of light,
And yet I ask: Have they indeed not heard? Indeed “into all the earth their sound went forth, and their sayings to the ends of the world.”	And yet I ask: Have they indeed not heard? Indeed “into all the earth their sound went forth, and their sayings to the ends of the world.”
But concerning the dead, that they are raised, did you not read in the book of Moses, in the story of the thorn-bush, how God said to him: “I Abraham's God and Isaac's God and Jacob's God' – ?”	But concerning the dead, that they are raised, did you not read in the book of Moses, in the story of the thorn-bush, how God said to him: “I Abraham's God and Isaac's God and Jacob's God' – ?”
Others fell among the thorns, and the thorns that grew up with them choked them.	Others fell among the thorns, and the thorns that grew up with them choked them.
he took away, the Law of commands in orders , to make in himself the two peoples into a one new man, by making peace –	he took away, the Law of commands in orders , to make in himself the two peoples into a one new man, by making peace –
that they will all be one, as you, Father, is in me and I in you, that also they will be in us , that the world will believe that you sent me.	that they will all be one, as you, Father, is in me and I in you, that also they will be in us , that the world will believe that you sent me.
But like the congregation subjects itself to the Christ, so may the women do to their husbands in everything.	But like the congregation subjects itself to the Christ, so may the women do to their husbands in everything.
But who indeed is a widow and has become destitute, has put her hope in God and remains in petitions and prayers at night and at day.	But who indeed is a widow and has become destitute, has put her hope in God and remains in petitions and prayers at night and at day.
But of a single thing is need. Mary has chosen the good part, and it will not be taken from her.”	But of a single thing is need. Mary has chosen the good part, and it will not be taken from her.”
He did not say yes to their plan or their deed. He came from Arimathea, a city of the Jews, and looked forward to God's kingdom.	He did not say yes to their plan or their deed. He came from Arimathea, a city of the Jews, and looked forward to God's kingdom.
And if anyone then says to you: “Behold! Here is the Christ!”, or: “Look, there he is!”, do not believe .	And if anyone then says to you: “Behold! Here is the Christ!”, or: “Look, there he is!”, do not believe .
After finding one pearl that was most precious, he went away and sold everything that he had and traded it to himself.	After finding one pearl that was most precious, he went away and sold everything that he had and traded it to himself.
Since he wished, he caused us to exist by the word of truth, for us to be first fruits of his creatures.	Since he wished, he caused us to exist by the word of truth, for us to be first fruits of his creatures.
Then wonder fell upon all, and they talked one with the other, saying: “What kind of speech is this? For with power and with might he commands the unclean spirits, and they come out!”	Then wonder fell upon all, and they talked one with the other, saying: “What kind of speech is this? For with power and with might he commands the unclean spirits, and they come out!”
And Simeon blessed them, but he said to Mary his mother: “Behold, this one has been placed for the fall and for the rising of numeous ones in Israel, and a sign that one speaks against,	And Simeon blessed them, but he said to Mary his mother: “Behold, this one has been placed for the fall and for the rising of numeous ones in Israel, and a sign that one speaks against,
“for you to be fortunate and for you to have a long life on earth”.	“for you to be fortunate and for you to have a long life on earth”.
And he commended them that they would say nothing to anyone, but the more he commanded them, the more they made it known.	And he commended them that they would say nothing to anyone, but the more he commanded them, the more they made it known.
But Poplio's father was bed-ridden with fever and dystentery. Paul went in to him and prayed, put his hands on him and healed him.	But Poplio's father was bed-ridden with fever and dystentery. Paul went in to him and prayed, put his hands on him and healed him.
And since they shouted and shook their cloaks and threw dust into the air,	And since they shouted and shook their cloaks and threw dust into the air,
and God's peace, which surpasses every thought, will watch your heart and your mind by Jesus Christ.	and God's peace, which surpasses every thought, will watch your heart and your mind by Jesus Christ.
But the Jews stirred up the reverent women and the prominent men in the city, and they raised up persecution against Paul and Barnabas and threw them beyond their borders.	But the Jews stirred up the reverent women and the prominent men in the city, and they raised up persecution against Paul and Barnabas and threw them beyond their borders.
But also tax collectors came to be baptized, and they said to him: “Teacher, what are we to do?”	But also tax collectors came to be baptized, and they said to him: “Teacher, what are we to do?”
Therefore I ask of you: Walk in my path!	Therefore I ask of you: Walk in my path!
But when they turn to the Lord, the veil is taken away.	But when they turn to the Lord, the veil is taken away.
But when he was still on the way his slaves met him to tell him that his son was alive.	But when he was still on the way his slaves met him to tell him that his son was alive.
For that gives himself a good witness is not the one that will pass at the test, but he to whom the Lord gives good witness.	For that gives himself a good witness is not the one that will pass at the test, but he to whom the Lord gives good witness.
And after these things he went forth and saw a tax-collector called Levi sitting at the tax office, and he said to him: “Follow me.”	And after these things he went forth and saw a tax-collector called Levi sitting at the tax office, and he said to him: “Follow me.”
But then how will it be made true, the Scripture that says that so it must happen?”	But then how will it be made true, the Scripture that says that so it must happen?”
When they went through the entire island as far as Paphos, they met a man who was a wizard, a false prophet .	When they went through the entire island as far as Paphos, they met a man who was a wizard, a false prophet .
and you say: “If we existed in our father's days, we did not have part with them in the blood of the Prophets!”	and you say: “If we existed in our father's days, we did not have part with them in the blood of the Prophets!”
After these things Jesus revealed himself to the disciples by the Sea Tiberias; and he revealed himself thus:	After these things Jesus revealed himself to the disciples by the Sea Tiberias; and he revealed himself thus:
But the centurion found a ship from Alexandria that was going to sail to Italy, and he commanded us to go into that.	But the centurion found a ship from Alexandria that was going to sail to Italy, and he commanded us to go into that.
While I am in the world, I am the world’s light.”	While I am in the world, I am the world’s light.”
But you, say that are beneficial for healthy teaching.	But you, say that are beneficial for healthy teaching.
by whom every family in heaven and earth is named.	by whom every family in heaven and earth is named.
according to my great longing and my hope that I shall be humbled in nothing, but in all boldness the Christ shall be praised by means of my body – as always before, so also now, in life or in death.	according to my great longing and my hope that I shall be humbled in nothing, but in all boldness the Christ shall be praised by means of my body – as always before, so also now, in life or in death.
"But concerning the Son: ""God is your throne forever and ever, and your kingdom's staff is a staff of uprightness"" ."	"But concerning the Son: ""God is your throne forever and ever, and your kingdom's staff is a staff of uprightness"" ."
as unknown and yet well known, as dying and behold! we are alive, as receiving chastisement and yet not slain,	as unknown and yet well known, as dying and behold! we are alive, as receiving chastisement and yet not slain,
But when John was soon going to complete his run, he said: Who do you suppose that I am? I am not he. But behold, after me comes a person whose shoes I am not worthy to loosen!	But when John was soon going to complete his run, he said: Who do you suppose that I am? I am not he. But behold, after me comes a person whose shoes I am not worthy to loosen!
or by earth, for it is the support for his feet, or by Jerusalem, for it is the city of the mighty king.	or by earth, for it is the support for his feet, or by Jerusalem, for it is the city of the mighty king.
Happy are the ones that give mercy, for they will receive mercy!	Happy are the ones that give mercy, for they will receive mercy!
For you were called into freedom, brothers; solely do not use this freedom to give an opportunity to the flesh, but by love be thralls one for the other.	For you were called into freedom, brothers; solely do not use this freedom to give an opportunity to the flesh, but by love be thralls one for the other.
Heaven and earth will pass away before a single mark in the Law will fall away.	Heaven and earth will pass away before a single mark in the Law will fall away.
But Abraham said: “They have Moses and the Prophets; let them listen to them!”	But Abraham said: “They have Moses and the Prophets; let them listen to them!”
Genealogy of Jesus Christ, David's son, Abraham's son:	Genealogy of Jesus Christ, David's son, Abraham's son:
But he was in the back of the boat, asleep on a pillow, and they woke him up and said to him: “Lord, is it not important to you that we are dying?”	But he was in the back of the boat, asleep on a pillow, and they woke him up and said to him: “Lord, is it not important to you that we are dying?”
When Timothy shall come, see that he will be free of fear among you, for he is doing the Lord's work, as do I.	When Timothy shall come, see that he will be free of fear among you, for he is doing the Lord's work, as do I.
Then he told a comparison to the men that were invited, when he perceived how they close the most prominent places for themselves, saying to them:	Then he told a comparison to the men that were invited, when he perceived how they close the most prominent places for themselves, saying to them:
He has helped Israel his servant, to recall mercy,	He has helped Israel his servant, to recall mercy,
I will come soon. Keep which you have, to stop anyone from taking your crown.	I will come soon. Keep which you have, to stop anyone from taking your crown.
But he talked about the temple of his body.	But he talked about the temple of his body.
 is much more true that is a need for those body-parts that by their appearance are weak,	 is much more true that is a need for those body-parts that by their appearance are weak,
Now this Hagar is Sinai, a mountain in Arabia, and it is a picture of the Jerusalem which exists now, for she is in thralldom with her children.	Now this Hagar is Sinai, a mountain in Arabia, and it is a picture of the Jerusalem which exists now, for she is in thralldom with her children.
If you do these things, reveal yourself to the world!”	If you do these things, reveal yourself to the world!”
and thieves, and greedy ones, or people that drink too much, and people that speak mockery, and robbers, will not be heirs to God's kingdom.	and thieves, and greedy ones, or people that drink too much, and people that speak mockery, and robbers, will not be heirs to God's kingdom.
May you have grace and peace from God our Father and the Lord Jesus Christ,	May you have grace and peace from God our Father and the Lord Jesus Christ,
For the multitude of the people followed him, crying: “Kill him!”	For the multitude of the people followed him, crying: “Kill him!”
If you abide by my commandments, you will remain in my love, as I have abided by the Father’s commandments and remain in his love.	If you abide by my commandments, you will remain in my love, as I have abided by the Father’s commandments and remain in his love.
but we sailed away from Philippi after the days of Unleavened Breads, and we came to them in Troas before five days were gone. There we remained for seven days.	but we sailed away from Philippi after the days of Unleavened Breads, and we came to them in Troas before five days were gone. There we remained for seven days.
By the law nearly all things are cleansed with blood, and if blood is not poured , is not forgiveness.	By the law nearly all things are cleansed with blood, and if blood is not poured , is not forgiveness.
Who will take us away from the love of the Christ? Will tribulation or pressure or persecution or famine or nakedness or danger or sword do so?	Who will take us away from the love of the Christ? Will tribulation or pressure or persecution or famine or nakedness or danger or sword do so?
And he sent them to make known God's kingdom and to heal,	And he sent them to make known God's kingdom and to heal,
There were occasions when you were openly given to mockeries and tribulations alike, and on some occasions you had a part with others that went through such things.	There were occasions when you were openly given to mockeries and tribulations alike, and on some occasions you had a part with others that went through such things.
I know that you always hear me, but for the good of the crowd that is standing here I spoke, that they will believe that you sent me.”	I know that you always hear me, but for the good of the crowd that is standing here I spoke, that they will believe that you sent me.”
And the crowd came up and began to ask that was done to them as the custom was.	And the crowd came up and began to ask that was done to them as the custom was.
Jesus loved Martha and her sister and Lazarus.	Jesus loved Martha and her sister and Lazarus.
But if another receives a revelation while he is sitting there, it is necessary for the first one to be silent.	But if another receives a revelation while he is sitting there, it is necessary for the first one to be silent.
He said to them: ”What are these words that you are exchanging while you are walking?” And they stood , with grief in their face.	He said to them: ”What are these words that you are exchanging while you are walking?” And they stood , with grief in their face.
Then it goes away and brings with it seven other spirits, more wicked then itself, and after they come in they dwell there, and to that man the last state will be worse than the first.”	Then it goes away and brings with it seven other spirits, more wicked then itself, and after they come in they dwell there, and to that man the last state will be worse than the first.”
and they had hair like women’s hair, and their teeth were like lions’ teeth;	and they had hair like women’s hair, and their teeth were like lions’ teeth;
idol-worship, sorcery, strife, fighting, burning feeling, anger, quarrels, splits, divided orders,	idol-worship, sorcery, strife, fighting, burning feeling, anger, quarrels, splits, divided orders,
Therefore I will chastise him; then I will release him. 	Therefore I will chastise him; then I will release him. 
Now came one of the synagogue chiefs, whose name was Jairus. Seeing Jesus he fell down before his feet	Now came one of the synagogue chiefs, whose name was Jairus. Seeing Jesus he fell down before his feet
Simon Peter said to him: “By no means will you ever wash my feet!” Jesus answered him: “If I do not wash you, you do not have part with me.”	Simon Peter said to him: “By no means will you ever wash my feet!” Jesus answered him: “If I do not wash you, you do not have part with me.”
Then he said to them: “But now it is necessary for who has a purse to bring it, in the same manner a food-box, and it is necesssary for how lacks a sword to sell his cloak and get a sword for the money.	Then he said to them: “But now it is necessary for who has a purse to bring it, in the same manner a food-box, and it is necesssary for how lacks a sword to sell his cloak and get a sword for the money.
For where your treasure is, there also your heart will be.	For where your treasure is, there also your heart will be.
For I do not want to meet you now, passing through your region, for I have the hope that I will stay with you for a longer time, if the Lord allows.	For I do not want to meet you now, passing through your region, for I have the hope that I will stay with you for a longer time, if the Lord allows.
And in answer the king will say to them: 'Truly I say to you: In the measure that you did that to one among these smallest brothers of mine, in the same measure to me you did it.'	And in answer the king will say to them: 'Truly I say to you: In the measure that you did that to one among these smallest brothers of mine, in the same measure to me you did it.'
And he took a child, made it to stand in their midst and put his arms around it and said to them:	And he took a child, made it to stand in their midst and put his arms around it and said to them:
He sent heralds before himself, and they went away and went into a village of Samaritans, to prepare for him.	He sent heralds before himself, and they went away and went into a village of Samaritans, to prepare for him.
If he does not, perhaps he puts the foundation of the tower , but it is not possible for him to complete it, and all that are watching will perhaps start to speak mockery about him,	If he does not, perhaps he puts the foundation of the tower , but it is not possible for him to complete it, and all that are watching will perhaps start to speak mockery about him,
But he talked in the synagogue every sabbath and caused Jews and Greeks to believe.	But he talked in the synagogue every sabbath and caused Jews and Greeks to believe.
In answer Peter said to him: “Give us insight about the comparison!”	In answer Peter said to him: “Give us insight about the comparison!”
I know him, for from him I come, and he sent me.”	I know him, for from him I come, and he sent me.”
How do you not understand what I am saying? Because you cannot listen to my word.	How do you not understand what I am saying? Because you cannot listen to my word.
They will fight against the Lamb, but since he is Lord of lords and King of Kings, the Lamb will conquer them, with the called and the chosen and the faithful.”	They will fight against the Lamb, but since he is Lord of lords and King of Kings, the Lamb will conquer them, with the called and the chosen and the faithful.”
I have said formerly, when I was with you after I came to you for the second time, and now when I am away I say beforehand to those that have sinned formerly and to all the others: If I ever return I will not show mercy,	I have said formerly, when I was with you after I came to you for the second time, and now when I am away I say beforehand to those that have sinned formerly and to all the others: If I ever return I will not show mercy,
But the helper, the Holy Spirit, whom the Father shall send in my name, he will teach you all things and will make you remember everything that I told you.	But the helper, the Holy Spirit, whom the Father shall send in my name, he will teach you all things and will make you remember everything that I told you.
And the lord said to the thrall: “Go out into the roads and to the fenced fields and compel them to come inside, in order to fill my house.	And the lord said to the thrall: “Go out into the roads and to the fenced fields and compel them to come inside, in order to fill my house.
Furthermore, if the Christ has not been raised, your faith is for nothing; you are still in your sins.	Furthermore, if the Christ has not been raised, your faith is for nothing; you are still in your sins.
Therefore Jesus, knowing that now they were going to come and take him to make him king, went away into the mountain, he alone.	Therefore Jesus, knowing that now they were going to come and take him to make him king, went away into the mountain, he alone.
And he came again, and found them asleep, for their eyes were heavy.	And he came again, and found them asleep, for their eyes were heavy.
Then, after sending the crowds away, he went into the boat. And his disciples came to him and said: “Let us understand the comparison about the worthless plants in the field!”	Then, after sending the crowds away, he went into the boat. And his disciples came to him and said: “Let us understand the comparison about the worthless plants in the field!”
Nicodemus answered and said to him: “How can these things happen?”	Nicodemus answered and said to him: “How can these things happen?”
So also the Pharisees asked him how he received sight. He said to them: “He put a mud on my eyes and I washed self, and I can see.”	So also the Pharisees asked him how he received sight. He said to them: “He put a mud on my eyes and I washed self, and I can see.”
For as by one crime all men were judged evil, in the same manner by one righteous deed all men are said just, to life.	For as by one crime all men were judged evil, in the same manner by one righteous deed all men are said just, to life.
And when he lay with them at the table he took the bread, blessed it, broke it and gave it to them.	And when he lay with them at the table he took the bread, blessed it, broke it and gave it to them.
Then he said: “If anyone wants to come after me, it is necessary for him to deny himself and lift his cross every day and follow me.	Then he said: “If anyone wants to come after me, it is necessary for him to deny himself and lift his cross every day and follow me.
Then Jesus came with them to the place called Gethsemane, and he said to his disciples: “Sit here while I go thither to pray!”	Then Jesus came with them to the place called Gethsemane, and he said to his disciples: “Sit here while I go thither to pray!”
Looking into it I watched and saw the four-legged creatures of earth and the wild beasts and the creeping things and the birds of heaven.	Looking into it I watched and saw the four-legged creatures of earth and the wild beasts and the creeping things and the birds of heaven.
But if you were raised with the Christ, seek the high things, in which the Christ is sitting by God's right hand.	But if you were raised with the Christ, seek the high things, in which the Christ is sitting by God's right hand.
But they were silent. Then he took the man, healed him and sent him away.	But they were silent. Then he took the man, healed him and sent him away.
Behold, then, God's goodness and harshness: Towards that fell is harshness, but towards you is God's goodness, if you remain in his goodness; if not, you all well will be cut off.	Behold, then, God's goodness and harshness: Towards that fell is harshness, but towards you is God's goodness, if you remain in his goodness; if not, you all well will be cut off.
Thus, when the men saw the signs that he did, they said: “This man truly is the prophet who was to come into the world.”	Thus, when the men saw the signs that he did, they said: “This man truly is the prophet who was to come into the world.”
Then Mary took a pound of fragrant oil – genuine, most precious nard – and anointed Jesus’ feet and dried his feet with her hair. The scent of the fragrant oil filled the house.	Then Mary took a pound of fragrant oil – genuine, most precious nard – and anointed Jesus’ feet and dried his feet with her hair. The scent of the fragrant oil filled the house.
and I fell to earth and heard a voice say to me: 'Saul, Saul, what is your reason for persecuting me?'	and I fell to earth and heard a voice say to me: 'Saul, Saul, what is your reason for persecuting me?'
Afterwards the other maidens also came, saying: 'Lord, lord, open for us!'	Afterwards the other maidens also came, saying: 'Lord, lord, open for us!'
for though they knew God, they did not give him the glory or thanksgiving to which he is worthy as Deity, but their thoughts became empty and darkness filled their unintelligent heart.	for though they knew God, they did not give him the glory or thanksgiving to which he is worthy as Deity, but their thoughts became empty and darkness filled their unintelligent heart.
Indeed I beg of you that when I shall come it will not be necessary for me to behave in the bold manner that I foresee, against who think that we walk by the flesh.	Indeed I beg of you that when I shall come it will not be necessary for me to behave in the bold manner that I foresee, against who think that we walk by the flesh.
Then he sent him home, saying: “Do not go into the village!”	Then he sent him home, saying: “Do not go into the village!”
