ENGLISH	QUENYA
For Christ sent me, not to baptize, but to make known the gospel, not with wisdom of speech, causing the cross of Christ to lack its power.	For Christ sent me, not to baptize, but to make known the gospel, not with wisdom of speech, causing the cross of Christ to lack its power.
For speech of the cross is foolishness to that that will be lost, but to us that are saved it is God's power.	For speech of the cross is foolishness to that that will be lost, but to us that are saved it is God's power.
For is written: “I will cause the wisdom of the wise ones to pass away, and the intelligence of the intelligent ones I will put away.“	For is written: “I will cause the wisdom of the wise ones to pass away, and the intelligence of the intelligent ones I will put away.“
Where the wise one? Where is the scribe? Where who loves word-strife in this world? Has God not made the world's wisdom foolish?	Where the wise one? Where is the scribe? Where who loves word-strife in this world? Has God not made the world's wisdom foolish?
For since, in God's wisdom, the world by its own wisdom did not know God, it was good in God's eyes that he would save that believe by the foolishness that we make known.	For since, in God's wisdom, the world by its own wisdom did not know God, it was good in God's eyes that he would save that believe by the foolishness that we make known.
For Jews ask for signs and Greeks seek wisdom,	For Jews ask for signs and Greeks seek wisdom,
but we make known Christ crucified – which turns Jews away and is foolishness to the non-Jews.	but we make known Christ crucified – which turns Jews away and is foolishness to the non-Jews.
But to those that are called, to Jews and Greeks alike, he is Christ, God's power and God's wisdom.	But to those that are called, to Jews and Greeks alike, he is Christ, God's power and God's wisdom.
For the foolish thing of God is wiser than men, and a weak thing of God is stronger than Men.	For the foolish thing of God is wiser than men, and a weak thing of God is stronger than Men.
For you behold his calling of you, brothers: that not numerous ones that were wise in the manner of the flesh were called, not numerous mighty ones, not numerous ones born as nobles.	For you behold his calling of you, brothers: that not numerous ones that were wise in the manner of the flesh were called, not numerous mighty ones, not numerous ones born as nobles.
But God chose the foolish things of the world, humbling the wise ones; and God chose the world's weak things, humbling the strong ones,	But God chose the foolish things of the world, humbling the wise ones; and God chose the world's weak things, humbling the strong ones,
and God chose the ignoble ones and that were being despised – them that are nothing – to destroy them that seem important.	and God chose the ignoble ones and that were being despised – them that are nothing – to destroy them that seem important.
Thus will not be flesh that will praise itself before God.	Thus will not be flesh that will praise itself before God.
But by him you are in Christ Jesus, who has been made God's wisdom to us, and righteousness and sanctification and ransom.	But by him you are in Christ Jesus, who has been made God's wisdom to us, and righteousness and sanctification and ransom.
Thus, as has been written, ' that praises himself, may be praise himself in the Lord!'	Thus, as has been written, ' that praises himself, may be praise himself in the Lord!'
For I, when I came to you, brothers, did not come with beautiful words or wisdom when I made God's mystery known.	For I, when I came to you, brothers, did not come with beautiful words or wisdom when I made God's mystery known.
For I made the choice that I did not want to know a single thing among you except Jesus Christ and him crucified.	For I made the choice that I did not want to know a single thing among you except Jesus Christ and him crucified.
For I can to you being weak and in fear and in great trembling,	For I can to you being weak and in fear and in great trembling,
and my speech and my preaching were not in persuasive words of wisdom, but in a showing of spirit and power.	and my speech and my preaching were not in persuasive words of wisdom, but in a showing of spirit and power.
Thus your faith could be established, not on men's wisdom, but on God's power.	Thus your faith could be established, not on men's wisdom, but on God's power.
Now we speak wisdom about those that are mature, but not the wisdom of this age, or that of who rule in this age – that will be undone.	Now we speak wisdom about those that are mature, but not the wisdom of this age, or that of who rule in this age – that will be undone.
But we speak God's wisdom in a mystery, the hidden wisdom, which God established beforehand before the ages, for our glory.	But we speak God's wisdom in a mystery, the hidden wisdom, which God established beforehand before the ages, for our glory.
This wisdom no one of that rule in this age has known, for if they knew it, they did not crucify the Lord of glory.	This wisdom no one of that rule in this age has known, for if they knew it, they did not crucify the Lord of glory.
But as is written: “ that eye has not seen and ear has not heard, that a man's heart did not think, those God has prepared for that love him.”	But as is written: “ that eye has not seen and ear has not heard, that a man's heart did not think, those God has prepared for that love him.”
For to us God has revealed them, by his spirit – for the spirit searches into all things, also the profound things of God.	For to us God has revealed them, by his spirit – for the spirit searches into all things, also the profound things of God.
For who among men knows a man's matters except the man's spirit which is in him? In the same manner nobody has known God's matters except God's spirit.	For who among men knows a man's matters except the man's spirit which is in him? In the same manner nobody has known God's matters except God's spirit.
But we received, not the world's spirit, but the spirit which comes from God, for us to know the things that by grace are given us by God.	But we received, not the world's spirit, but the spirit which comes from God, for us to know the things that by grace are given us by God.
These things we also speak, not with words taught with man's wisdom, but with those taught by the spirit, while we judge the matters of the spirit with the words of the spirit.	These things we also speak, not with words taught with man's wisdom, but with those taught by the spirit, while we judge the matters of the spirit with the words of the spirit.
But a man ruled by his nature does not receive that come from God's spirit, for to him they are foolishness, and he cannot know them, for they are inquired into in the manner of the spirit.	But a man ruled by his nature does not receive that come from God's spirit, for to him they are foolishness, and he cannot know them, for they are inquired into in the manner of the spirit.
But a spiritual man inquires into all things, but he is inquired into by no one.	But a spiritual man inquires into all things, but he is inquired into by no one.
For “who has known the Lord's mind, that he can teach him?” But we have the mind of Christ.	For “who has known the Lord's mind, that he can teach him?” But we have the mind of Christ.
And to me, brothers, it was not possible to speak to you as to people of the spirit, but as to people of the flesh, as to babes in Christ.	And to me, brothers, it was not possible to speak to you as to people of the spirit, but as to people of the flesh, as to babes in Christ.
Milk I gave to you, not firm food, for that you could not yet eat. Indeed you still fail to be able,	Milk I gave to you, not firm food, for that you could not yet eat. Indeed you still fail to be able,
for you are still people of the flesh. For when is enmity and strife among you, are you not of the flesh and walk as men do?	for you are still people of the flesh. For when is enmity and strife among you, are you not of the flesh and walk as men do?
For when anyone says: “I am for Paul”, but another: “I am for Apollos”, do you not behave like men?	For when anyone says: “I am for Paul”, but another: “I am for Apollos”, do you not behave like men?
What, then, is Apollos? Indeed what is Paul? Some servants by whom you believed, every person as the Lord allowed him.	What, then, is Apollos? Indeed what is Paul? Some servants by whom you believed, every person as the Lord allowed him.
I planted, Apollos poured water, but God gave the growth.	I planted, Apollos poured water, but God gave the growth.
Thus, who plants and who pours are both nothing; God is that gives growth.	Thus, who plants and who pours are both nothing; God is that gives growth.
But who plants and who pours water are one, but every person will receive his own reward, by his labor.	But who plants and who pours water are one, but every person will receive his own reward, by his labor.
For together we are God's servants. But you are God's field, God's building.	For together we are God's servants. But you are God's field, God's building.
Now, by God's grace that has been given me, as a wise chief of construction I have put a foundation, but another builds on it. But may everyone heed how he builds on it.	Now, by God's grace that has been given me, as a wise chief of construction I have put a foundation, but another builds on it. But may everyone heed how he builds on it.
For no one can put another foundation except that whis is put , which is Jesus Christ.	For no one can put another foundation except that whis is put , which is Jesus Christ.
Now if anyone builds on this foundation – with gold, with silver, with jewels, with wood, with grass, with hay –	Now if anyone builds on this foundation – with gold, with silver, with jewels, with wood, with grass, with hay –
everyone's work will be shown, for the Day will show it , and it will be revealed as by fire, and everyone's labor, of what kind it is, the fire itself will test.	everyone's work will be shown, for the Day will show it , and it will be revealed as by fire, and everyone's labor, of what kind it is, the fire itself will test.
If anyone's labor, which he has built on it, remains, he will receive reward.	If anyone's labor, which he has built on it, remains, he will receive reward.
If anyone's work is burnt , that will be lost to him, but he will be saved – though as through fire.	If anyone's work is burnt , that will be lost to him, but he will be saved – though as through fire.
Do you not know that you are God's temple, and that God's spirit dwells in you?	Do you not know that you are God's temple, and that God's spirit dwells in you?
If anyone destroys God's temple, God will destroy him, for God's temple is holy, the temple that you are .	If anyone destroys God's temple, God will destroy him, for God's temple is holy, the temple that you are .
May no one lie to himself: If anyone among you thinks that he is wise in this age, may he become a fool, in order to become wise.	May no one lie to himself: If anyone among you thinks that he is wise in this age, may he become a fool, in order to become wise.
For this world's wisdom is foolishness to God, for is written: “He seizes the wise ones in their own cunning,”	For this world's wisdom is foolishness to God, for is written: “He seizes the wise ones in their own cunning,”
and again: “The Lord knows the thaughts of the wise ones, that they are empty.”	and again: “The Lord knows the thaughts of the wise ones, that they are empty.”
Therefore may no one praise himself in men, for you have all things.	Therefore may no one praise himself in men, for you have all things.
No matter what , Paul or Apollos or Cephas or the world or life or death or the things that are now or the things that will come – everything you have, while you are of the Christ, and Christ is of God.	No matter what , Paul or Apollos or Cephas or the world or life or death or the things that are now or the things that will come – everything you have, while you are of the Christ, and Christ is of God.
May a man account us as Christ's servants, managing God's mysteries.	May a man account us as Christ's servants, managing God's mysteries.
Furthermore, what one seeks in overseers is that everyone is being found faithful.	Furthermore, what one seeks in overseers is that everyone is being found faithful.
For me it is a very small matter to be examined by you or by human judges. Indeed I do not examine myself.	For me it is a very small matter to be examined by you or by human judges. Indeed I do not examine myself.
For I know nothing against myself. And yet I am not thus shown just, but who examines me is the Lord.	For I know nothing against myself. And yet I am not thus shown just, but who examines me is the Lord.
Therefore do not pass judement before the time, until the Lord comes, who will bring the hidden things of the dark into the light and also will make known the thoughts of the hearts, and then will be praise for everyone from God.	Therefore do not pass judement before the time, until the Lord comes, who will bring the hidden things of the dark into the light and also will make known the thoughts of the hearts, and then will be praise for everyone from God.
Here, brothers, I use myself and Apollos as examples, for your good. Thus, by heeding us , you may learn this thing: “Do not go beyond the things written, to stop a person from elevating himself over another.”	Here, brothers, I use myself and Apollos as examples, for your good. Thus, by heeding us , you may learn this thing: “Do not go beyond the things written, to stop a person from elevating himself over another.”
For what exalts you above others? Indeed what do you have that you have not received? But if you received it, how is that you praise yourself as if you did not receive it?	For what exalts you above others? Indeed what do you have that you have not received? But if you received it, how is that you praise yourself as if you did not receive it?
Are you filled even now? Are you rich even now? Have you become kings without us? I wish that you did indeed become kings, for us to rule with you!	Are you filled even now? Are you rich even now? Have you become kings without us? I wish that you did indeed become kings, for us to rule with you!
For seems to me that God has put us, the apostles, last, as men condemned to death, for we have been a spectacle to the world, and to angels, and to men.	For seems to me that God has put us, the apostles, last, as men condemned to death, for we have been a spectacle to the world, and to angels, and to men.
We are fools by the Christ, but you are intelligent in Christ; we are weak, but you are strong; you are glorious, while we lack glory.	We are fools by the Christ, but you are intelligent in Christ; we are weak, but you are strong; you are glorious, while we lack glory.
Until this time we are hungry and thirsty and naked and beaten, without a home,	Until this time we are hungry and thirsty and naked and beaten, without a home,
and we toil, laboring with our own hands. When we receive mockery, we bless; when we are being persecuted, we bear it;	and we toil, laboring with our own hands. When we receive mockery, we bless; when we are being persecuted, we bear it;
when one speaks evil about us, we answer with friendly words. We have been as the world's refuse, a stain to be washed off all things, until now.	when one speaks evil about us, we answer with friendly words. We have been as the world's refuse, a stain to be washed off all things, until now.
I am not writing these things to humiliate you, but to show to you what is right, as my beloved children.	I am not writing these things to humiliate you, but to show to you what is right, as my beloved children.
For if you had countless people instructing you in Christ, you indeed do not have numerous fathers , for in the Christ Jesus I became your father by the gospel.	For if you had countless people instructing you in Christ, you indeed do not have numerous fathers , for in the Christ Jesus I became your father by the gospel.
Therefore I ask of you: Walk in my path!	Therefore I ask of you: Walk in my path!
For this reason I have sent to you Timothy, my beloved and faithful child in the Lord, who will make you recall my ways in Christ Jesus, as I instruct in every place and every congregation.	For this reason I have sent to you Timothy, my beloved and faithful child in the Lord, who will make you recall my ways in Christ Jesus, as I instruct in every place and every congregation.
As if I am not coming to you, some have elevated themselves,	As if I am not coming to you, some have elevated themselves,
but I will come to you soon, if the Lord wishes. Then I will know, not the speaking of those that have elevated themselves, but their power.	but I will come to you soon, if the Lord wishes. Then I will know, not the speaking of those that have elevated themselves, but their power.
What do you want? Am I to come to you bringing a rod, or bringing love and a gentle spirit?	What do you want? Am I to come to you bringing a rod, or bringing love and a gentle spirit?
Indeed one hears about fornication among you, and such fornication that does not happen even among the non-Jews – a man has his father's wife!	Indeed one hears about fornication among you, and such fornication that does not happen even among the non-Jews – a man has his father's wife!
And you think well of yourselves! You would have done better if you had grief, throwing this man out of your midst.	And you think well of yourselves! You would have done better if you had grief, throwing this man out of your midst.
But I, though I am away in the body, but with you in the spirit, have judged even now – as if I were there – the man that has behaved so:	But I, though I am away in the body, but with you in the spirit, have judged even now – as if I were there – the man that has behaved so:
In the name of Jesus Christ our Lord, when you are together and also my spirit is there having the power of Jesus Christ our Lord,	In the name of Jesus Christ our Lord, when you are together and also my spirit is there having the power of Jesus Christ our Lord,
you are to give this man over to Satan. Thus his flesh will be destroyed, but the spirit will be saved on the Lord's day.	you are to give this man over to Satan. Thus his flesh will be destroyed, but the spirit will be saved on the Lord's day.
You do not have a good reason for exalting yourselves. Do you not know that a small leaven causes the whole dough to swell?	You do not have a good reason for exalting yourselves. Do you not know that a small leaven causes the whole dough to swell?
Take away the old leaven, for you to be a new dough which is without leaven. For our sacrifice of passover, Christ, has been slain.	Take away the old leaven, for you to be a new dough which is without leaven. For our sacrifice of passover, Christ, has been slain.
Thus let us make a festival, not with the old leaven, also without leaven of evil and of wickedness, but having unfermented breads of purity and of truth.	Thus let us make a festival, not with the old leaven, also without leaven of evil and of wickedness, but having unfermented breads of purity and of truth.
In my letter I wrote to you: Do not remain among fornicators.	In my letter I wrote to you: Do not remain among fornicators.
Not that you can turn yourselves fully away from fornicators, or from greedy people or people who worship idols. Then indeed it was necessary for you to pass out of the world!	Not that you can turn yourselves fully away from fornicators, or from greedy people or people who worship idols. Then indeed it was necessary for you to pass out of the world!
But now I am writing to you: Do not remain with anyone called a brother who is a fornicator, or a person who speaks mockery, or who drinks too much, or who is a robber. Furthermore, do not eat with such a person.	But now I am writing to you: Do not remain with anyone called a brother who is a fornicator, or a person who speaks mockery, or who drinks too much, or who is a robber. Furthermore, do not eat with such a person.
For how is it necessary for me to judge that are on the outside? Do not you judge that are on the inside,	For how is it necessary for me to judge that are on the outside? Do not you judge that are on the inside,
while God judges that are on the outside? Send the evil person away out of your midst!	while God judges that are on the outside? Send the evil person away out of your midst!
Does anyone among you that have a strife against another dare to be jugded by unrighteous men and not by the holy ones?	Does anyone among you that have a strife against another dare to be jugded by unrighteous men and not by the holy ones?
Or do you not know that the holy ones will judge the world? And if the world will be judged by you, are you not worthy to judge the tiniest matters?	Or do you not know that the holy ones will judge the world? And if the world will be judged by you, are you not worthy to judge the tiniest matters?
Do you not know that we will judge angels? Then why do you not matters of this life?	Do you not know that we will judge angels? Then why do you not matters of this life?
If, then, you indeed have matters of this life about which you want a judgement, do you set as judges the men despised in the congregation?	If, then, you indeed have matters of this life about which you want a judgement, do you set as judges the men despised in the congregation?
I am talking to shame you. Do you then lack a single wise man among you who will know judge among his brothers,	I am talking to shame you. Do you then lack a single wise man among you who will know judge among his brothers,
but a brother has a lawsuit against a brother, and that before people who do not believe?	but a brother has a lawsuit against a brother, and that before people who do not believe?
Indeed you are defeated in the moment that you have lawsuits at all, one against the other. How is that you are not sooner wronged? How is it that you are not sooner deprived?	Indeed you are defeated in the moment that you have lawsuits at all, one against the other. How is that you are not sooner wronged? How is it that you are not sooner deprived?
No, you wrong and make others deprived, and that your brothers! 	No, you wrong and make others deprived, and that your brothers! 
Or do you not know that unrighteous people will not be heirs to God's kingdom? Do not err! Fornicators and people that worship idols or defile marriage, and men being kept for a purpose beside nature, or men that lie with men,	Or do you not know that unrighteous people will not be heirs to God's kingdom? Do not err! Fornicators and people that worship idols or defile marriage, and men being kept for a purpose beside nature, or men that lie with men,
and thieves, and greedy ones, or people that drink too much, and people that speak mockery, and robbers, will not be heirs to God's kingdom.	and thieves, and greedy ones, or people that drink too much, and people that speak mockery, and robbers, will not be heirs to God's kingdom.
And yet that is what some among you were. But you have been washed clean, but you have been hallowed, but you have been made just by the name of Jesus Christ our Lord, and by the Spirit of our God.	And yet that is what some among you were. But you have been washed clean, but you have been hallowed, but you have been made just by the name of Jesus Christ our Lord, and by the Spirit of our God.
I may do all things, but all things are not beneficial. I may do all things, but I will not allow that I will be led under the power of a single thing.	I may do all things, but all things are not beneficial. I may do all things, but I will not allow that I will be led under the power of a single thing.
Food for the belly, and the belly for food; but the Lord will destroy both. The body is not for fornication, but for the Lord, and the Lord is for the body.	Food for the belly, and the belly for food; but the Lord will destroy both. The body is not for fornication, but for the Lord, and the Lord is for the body.
But God raised the Lord and will also raise us by his might.	But God raised the Lord and will also raise us by his might.
But do you not know that your bodies are Christ's body-parts? Am I to take away the Christ's body-parts and make them a harlot's body-parts? By no means!	But do you not know that your bodies are Christ's body-parts? Am I to take away the Christ's body-parts and make them a harlot's body-parts? By no means!
Or do you know that who has become one with a harlot is one body with her? For “the two”, he says, “will be one flesh”.	Or do you know that who has become one with a harlot is one body with her? For “the two”, he says, “will be one flesh”.
But who has become one with the Lord is one spirit with him.	But who has become one with the Lord is one spirit with him.
Flee from fornication! Every other sin which a man can do is on the outside of his body, but who fornicates is sinning against his own body.	Flee from fornication! Every other sin which a man can do is on the outside of his body, but who fornicates is sinning against his own body.
Or do you not know that your body is a temple of the Holy Spirit in you, which you have from God? Furthermore, you do not possess yourselves,	Or do you not know that your body is a temple of the Holy Spirit in you, which you have from God? Furthermore, you do not possess yourselves,
for you were traded for a sum. Therefore give glory to God with your body!	for you were traded for a sum. Therefore give glory to God with your body!
Concerning the things of which you wrote: Not touching a woman is for a man beneficial,	Concerning the things of which you wrote: Not touching a woman is for a man beneficial,
but to stop fornication it is necessary that every man has his own wife and every woman her own husband.	but to stop fornication it is necessary that every man has his own wife and every woman her own husband.
It is necessary for the man to give his debt to his wife , but it is also necessary for the wife to to the same to her husband.	It is necessary for the man to give his debt to his wife , but it is also necessary for the wife to to the same to her husband.
The wife does not have mastery over her own body, but her husband has. In the same manner, the husband as well does not have mastery over his own body, but his wife has.	The wife does not have mastery over her own body, but her husband has. In the same manner, the husband as well does not have mastery over his own body, but his wife has.
Do not make one another deprived, except when you are of one mind to be away from the other, for a time, to give yourselves opportunity for prayer. Then come together again, to stop Satan from tempting you since you cannot control your lust.	Do not make one another deprived, except when you are of one mind to be away from the other, for a time, to give yourselves opportunity for prayer. Then come together again, to stop Satan from tempting you since you cannot control your lust.
But this is a thing I allow, not a thing that I command.	But this is a thing I allow, not a thing that I command.
But I wish that all men were like I am. And yet everyone has his own gift from God, one in this manner, another in that manner.	But I wish that all men were like I am. And yet everyone has his own gift from God, one in this manner, another in that manner.
Now I speak to those that have not married, and to the women whose husband has died: It is beneficial for them if they are still like I also am.	Now I speak to those that have not married, and to the women whose husband has died: It is beneficial for them if they are still like I also am.
But if they lack self-control, let them marry, for if they marry, that is better than that they burn with desire.	But if they lack self-control, let them marry, for if they marry, that is better than that they burn with desire.
To the people that have married I give this command – and yet not I, but the Lord: A wife may not abandon her husband.	To the people that have married I give this command – and yet not I, but the Lord: A wife may not abandon her husband.
But if indeed she abandons him, it is necessary for her to remain without a man, or to make peace with her husband; and a husband may not abandon his wife.	But if indeed she abandons him, it is necessary for her to remain without a man, or to make peace with her husband; and a husband may not abandon his wife.
But to the others I – not the Lord – say: If is a brother having a wife who does not believe, and the woman by her free will wishes to live with him, he may not abandon the woman.	But to the others I – not the Lord – say: If is a brother having a wife who does not believe, and the woman by her free will wishes to live with him, he may not abandon the woman.
And a woman having a husband who does not believe, and yet the man wishes to live with her by his free will, may not abandon her husband.	And a woman having a husband who does not believe, and yet the man wishes to live with her by his free will, may not abandon her husband.
For the husband who does not believe is sanctified by the woman, and the wife that does not believe is sanctified by the brother. If not your children were unclean, but now they are holy.	For the husband who does not believe is sanctified by the woman, and the wife that does not believe is sanctified by the brother. If not your children were unclean, but now they are holy.
But if the person that does not believe wants to go away, let him/her go away; a brother or sister is not bound in such circymstances but God has called you to peace.	But if the person that does not believe wants to go away, let him/her go away; a brother or sister is not bound in such circymstances but God has called you to peace.
For, wife, do you know whether you will save your husband? Or, husband, do you know whether you will save your wife?	For, wife, do you know whether you will save your husband? Or, husband, do you know whether you will save your wife?
Just as the Lord has portioned out to all, so may everyone walk as God has called him. Thus I command in all the congregations.	Just as the Lord has portioned out to all, so may everyone walk as God has called him. Thus I command in all the congregations.
Was anyone called circumcized? May he not become uncircumcized. Was anyone called without circumcision? May he not become circumcized.	Was anyone called circumcized? May he not become uncircumcized. Was anyone called without circumcision? May he not become circumcized.
Circumcision is not important, and lack of circumcision is not important, but heeding God's commandments is indeed important.	Circumcision is not important, and lack of circumcision is not important, but heeding God's commandments is indeed important.
May everyone remain in the condition in which he was called.	May everyone remain in the condition in which he was called.
Were you called as a slave? Do not let that cause grief to you, but if it is also possible for you to become freed, instead seize the opportunity.	Were you called as a slave? Do not let that cause grief to you, but if it is also possible for you to become freed, instead seize the opportunity.
For anyone in the Lord who was called when he was a slave is Lord's freed ; in the same manner, who was called as a free person is Christ's slave.	For anyone in the Lord who was called when he was a slave is Lord's freed ; in the same manner, who was called as a free person is Christ's slave.
You were traded to him for a sum; do not become slaves to men.	You were traded to him for a sum; do not become slaves to men.
May everyone, not heeding the circumstance in which he was called, remain in it, before God.	May everyone, not heeding the circumstance in which he was called, remain in it, before God.
Concerning the virgins I do not have a command from the Lord, but I give my thoughts as a person who has received the mercy from the Lord that I am faithful.	Concerning the virgins I do not have a command from the Lord, but I give my thoughts as a person who has received the mercy from the Lord that I am faithful.
Therefore, heeding the existing need, I think that this is the best for a man: that he remains as he is.	Therefore, heeding the existing need, I think that this is the best for a man: that he remains as he is.
Are you bound to a wife? Do not seek releasing. Are you released from a wife? Do not seek a wife.	Are you bound to a wife? Do not seek releasing. Are you released from a wife? Do not seek a wife.
But also if you did get married to a woman, you were not going to sin . And if a virgin got married, she was not going to sin . But who do so will have tribulations in their flesh. But I try to save you from grief.	But also if you did get married to a woman, you were not going to sin . And if a virgin got married, she was not going to sin . But who do so will have tribulations in their flesh. But I try to save you from grief.
But this thing I say, brothers: The remaining time is short. From now it is necessary for who have a wife to be as if they lacked a wife;	But this thing I say, brothers: The remaining time is short. From now it is necessary for who have a wife to be as if they lacked a wife;
furthermore, for the wailing to be as if they were not wailing, and for that have joy as if they lacked joy, and for that trade to be as those that do not possess,	furthermore, for the wailing to be as if they were not wailing, and for that have joy as if they lacked joy, and for that trade to be as those that do not possess,
and for those that use the world to be as that do not fully use it, for the form of this world passes away.	and for those that use the world to be as that do not fully use it, for the form of this world passes away.
Indeed I wish that you will be free from concern. The man that does not get married to a woman gives his mind to the the matters of the Lord, how he will receive the Lord's praise.	Indeed I wish that you will be free from concern. The man that does not get married to a woman gives his mind to the the matters of the Lord, how he will receive the Lord's praise.
But who has not maried gives his mind to the things of the world, how he will receive his wife's praise,	But who has not maried gives his mind to the things of the world, how he will receive his wife's praise,
and he is split. Furthermore, the woman that has not married, or the maiden, gives her mind to the matters of the Lord, allowing her to be holy in her body and her spirit alike. But the woman that has gotten married gives her mind to the matters of the world, how she can receive her husband's praise.	and he is split. Furthermore, the woman that has not married, or the maiden, gives her mind to the matters of the Lord, allowing her to be holy in her body and her spirit alike. But the woman that has gotten married gives her mind to the matters of the world, how she can receive her husband's praise.
But this thing I am saying since that is beneficial for you, not to deprive you of liberty, but to cause you to have proper behavior, in which you adhere to the Lord without impediment.	But this thing I am saying since that is beneficial for you, not to deprive you of liberty, but to cause you to have proper behavior, in which you adhere to the Lord without impediment.
But if anyone thinks that his behavior towards his virgin is not proper, if she is beyond her bloom, and by need will be so – may he do what he wishes; he does not sin. Let them marry.	But if anyone thinks that his behavior towards his virgin is not proper, if she is beyond her bloom, and by need will be so – may he do what he wishes; he does not sin. Let them marry.
But if anyone's heart is firm, not having need, but he has power over his own will and has made the choice in his own heart that her he will keep a virgin, he will do well.	But if anyone's heart is firm, not having need, but he has power over his own will and has made the choice in his own heart that her he will keep a virgin, he will do well.
Thus that marries off his virgin does well, but that does not marries her off, will do better.	Thus that marries off his virgin does well, but that does not marries her off, will do better.
A woman is obliged through the whole time that her husband lives. But if her husband expires, she is free to get married to whom she wishes, though only in the Lord.	A woman is obliged through the whole time that her husband lives. But if her husband expires, she is free to get married to whom she wishes, though only in the Lord.
But she will be happier if she remains single, as the matter seems to me. Indeed I think that I also have God's spirit.	But she will be happier if she remains single, as the matter seems to me. Indeed I think that I also have God's spirit.
Now about foods sacrificed to idols: We know that all among us have knowledge. Knowledge makes people haughty, but love builds them up.	Now about foods sacrificed to idols: We know that all among us have knowledge. Knowledge makes people haughty, but love builds them up.
If anyone things that he knows a thing, he still does not know it like it is necessary for him to know it.	If anyone things that he knows a thing, he still does not know it like it is necessary for him to know it.
But if anyone loves God, this person is known by him.	But if anyone loves God, this person is known by him.
Now about the eating of foods sacrificed to idols: We know that an idol is nothing in the world, and that does not exist god except one.	Now about the eating of foods sacrificed to idols: We know that an idol is nothing in the world, and that does not exist god except one.
For though are they that are called “gods”, in heaven or on earth, exactly like are numerous “gods” and numerous “lords”,	For though are they that are called “gods”, in heaven or on earth, exactly like are numerous “gods” and numerous “lords”,
 is for us a single God, the Father from whom all things are, and is a single Lord, Jesus Christ by whom all things are, an we by him.	 is for us a single God, the Father from whom all things are, and is a single Lord, Jesus Christ by whom all things are, an we by him.
And yet all do not have this knowledge. But some, whose habit until now concerns the idol, eat food as a thing sacrificed to an idol, and their conscience, being weak, is being defiled.	And yet all do not have this knowledge. But some, whose habit until now concerns the idol, eat food as a thing sacrificed to an idol, and their conscience, being weak, is being defiled.
But food does not make us good in God's eyes. If we do not eat, we do not fall short, and if indeed we eat, we are not better .	But food does not make us good in God's eyes. If we do not eat, we do not fall short, and if indeed we eat, we are not better .
But take heed that this right of yours will not in way be a cause of slipping for the weak ones.	But take heed that this right of yours will not in way be a cause of slipping for the weak ones.
For if anyone sees you, the person having knowledge, lying by the table for a meal on a temple of the idols, will the weak person's conscience not be built up, to the point of eating foods sacrificed to idols?	For if anyone sees you, the person having knowledge, lying by the table for a meal on a temple of the idols, will the weak person's conscience not be built up, to the point of eating foods sacrificed to idols?
By your knowledge the weak person will indeed be destroyed, your brother for whom Christ died!	By your knowledge the weak person will indeed be destroyed, your brother for whom Christ died!
